ano,rede,ensino,anos_escolares,taxa_aprovacao,ideb
2019,privada,fundamental,finais (6-9),97.1,6.4
2019,municipal,fundamental,finais (6-9),87.3,4.5
2019,total,fundamental,iniciais (1-5),95.1,5.9
2019,municipal,fundamental,iniciais (1-5),93.9,5.7
2019,publica,fundamental,iniciais (1-5),94.3,5.7
2019,estadual,fundamental,iniciais (1-5),96.3,6.1
2019,privada,fundamental,iniciais (1-5),98.8,7.1
2021,estadual,medio,todos (1-4),89.8,3.9
2021,privada,medio,todos (1-4),98.5,5.6
2021,total,medio,todos (1-4),90.8,4.2
2021,publica,medio,todos (1-4),89.8,3.9
2021,estadual,fundamental,finais (6-9),95.8,5.0
2021,total,fundamental,finais (6-9),95.7,5.1
2021,municipal,fundamental,finais (6-9),94.7,4.8
2021,publica,fundamental,finais (6-9),95.2,4.9
2021,privada,fundamental,finais (6-9),98.6,6.3
2021,estadual,fundamental,iniciais (1-5),97.8,5.9
2021,municipal,fundamental,iniciais (1-5),97.2,5.5
2021,publica,fundamental,iniciais (1-5),97.3,5.5
2021,total,fundamental,iniciais (1-5),97.6,5.8
2021,privada,fundamental,iniciais (1-5),99.1,7.0
2023,privada,medio,todos (1-4),97.1,5.6
2023,estadual,medio,todos (1-4),90.5,4.1
2023,total,medio,todos (1-4),91.3,4.3
2023,publica,medio,todos (1-4),90.5,4.1
2023,publica,fundamental,finais (6-9),93.2,4.7
2023,municipal,fundamental,finais (6-9),91.8,4.6
2023,total,fundamental,finais (6-9),94.0,5.0
2023,privada,fundamental,finais (6-9),98.4,6.3
2023,estadual,fundamental,finais (6-9),94.7,4.9
2023,publica,fundamental,iniciais (1-5),96.8,5.7
2023,municipal,fundamental,iniciais (1-5),96.6,5.8
2023,privada,fundamental,iniciais (1-5),99.3,7.2
2023,estadual,fundamental,iniciais (1-5),97.5,6.0
2023,total,fundamental,iniciais (1-5),97.2,6.0
